School,G,W_Tot,L_Tot,W_L_Percentage,Simple_Rating_System,Strength_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG_Percentage,ThreeP,ThreePA,ThreeP_Percentage,FT,FTA,FT_Percentage,ORB,TRB,AST,STL,BLK,TOV,PF,Season
Prairie View,27,8,19,.296,-10.47,-3.66,8,8,5,4,3,13,1877,2061,1095,648,1515,.428,171,495,.345,410,583,.703,297,945,309,229,83,471,573,2022
Presbyterian,32,12,20,.375,-8.47,-3.65,4,12,7,7,3,12,2170,2174,1325,794,1881,.422,183,677,.270,399,592,.674,391,1140,403,253,87,434,610,2022
Princeton,30,23,7,.767,2.65,-3.95,12,2,13,1,8,4,2395,2103,1215,910,1866,.488,327,846,.387,248,388,.639,268,1066,464,186,54,305,421,2022
Providence NCAA,33,27,6,.818,13.08,7.75,14,3,16,1,7,2,2360,2184,1345,808,1859,.435,243,706,.344,501,688,.728,348,1241,437,166,121,377,527,2022
Purdue NCAA,37,29,8,.784,19.15,8.23,14,6,16,1,5,5,2936,2532,1495,1026,2094,.490,315,820,.384,569,800,.711,412,1431,601,172,128,436,535,2022
Purdue Fort Wayne,33,21,12,.636,-5.59,-6.69,15,6,14,2,6,7,2424,2298,1340,864,1888,.458,311,839,.371,385,515,.748,248,1019,465,289,82,443,503,2022
Quinnipiac,31,14,17,.452,-5.56,-4.20,7,13,8,7,4,9,2226,2216,1245,789,1830,.431,276,801,.345,372,486,.765,306,1096,446,197,66,402,518,2022
Radford,29,11,18,.379,-9.23,-3.90,7,9,8,4,3,12,1832,1955,1175,666,1607,.414,201,655,.307,299,447,.669,294,966,316,192,44,400,519,2022
Rhode Island,31,15,16,.484,2.92,1.22,5,12,10,5,3,9,2081,2015,1240,769,1687,.456,166,493,.337,377,608,.620,299,1124,417,229,186,442,532,2022
Rice,33,16,17,.485,-2.74,-1.19,7,11,10,5,4,8,2446,2421,1340,868,1892,.459,297,803,.370,413,578,.715,292,1174,513,169,60,413,460,2022
Richmond NCAA,37,24,13,.649,7.07,4.48,10,8,11,4,7,5,2628,2532,1490,934,2112,.442,290,881,.329,470,655,.718,280,1194,536,281,87,361,513,2022
