School,G,W_Tot,L_Tot,W_L_Percentage,Simple_Rating_System,Strength_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG_Percentage,ThreeP,ThreePA,ThreeP_Percentage,FT,FTA,FT_Percentage,ORB,TRB,AST,STL,BLK,TOV,PF,Season
Rider,33,14,19,.424,-5.87,-3.56,8,12,7,6,4,11,2237,2286,1335,826,1997,.414,184,572,.322,401,545,.736,360,1223,420,226,81,391,565,2022
Robert Morris,32,8,24,.250,-12.50,-5.47,5,16,4,10,4,14,2220,2390,1290,823,1777,.463,192,567,.339,382,503,.759,286,1043,405,192,122,456,496,2022
Rutgers NCAA,32,18,14,.563,8.78,6.81,12,8,14,3,4,9,2192,2129,1300,826,1856,.445,199,587,.339,341,487,.700,327,1141,486,225,128,369,504,2022
Sacramento State,29,11,18,.379,-12.06,-5.36,6,14,5,8,4,9,1898,2035,1165,696,1615,.431,196,546,.359,310,457,.678,225,903,319,173,82,321,498,2022
Sacred Heart,30,10,20,.333,-13.41,-8.79,6,10,6,7,4,13,2180,2254,1210,807,1812,.445,242,706,.343,324,447,.725,337,1086,436,164,66,416,469,2022
Saint Francis (PA),30,9,21,.300,-14.57,-7.91,5,13,4,8,5,13,2058,2205,1215,764,1808,.423,177,562,.315,353,545,.648,356,1099,389,197,83,378,442,2022
Saint Joseph's,30,11,19,.367,1.00,2.46,5,13,9,7,1,10,2028,2072,1210,747,1774,.421,268,797,.336,266,407,.654,292,1128,406,148,74,406,484,2022
Saint Louis,35,23,12,.657,9.83,3.45,12,6,14,5,5,6,2666,2376,1415,958,2090,.458,236,640,.369,514,674,.763,415,1351,517,225,109,450,627,2022
Saint Mary's (CA) NCAA,34,26,8,.765,14.82,6.58,12,3,16,0,6,4,2370,2061,1360,888,1915,.464,246,696,.353,348,459,.758,293,1146,458,235,86,382,529,2022
Saint Peter's NCAA,34,22,12,.647,2.96,-0.47,14,6,9,4,7,7,2277,2125,1370,797,1865,.427,198,566,.350,485,692,.701,366,1218,418,240,170,456,669,2022
Sam Houston,33,19,14,.576,0.07,-1.16,13,5,11,2,5,8,2272,2082,1325,846,1984,.426,287,837,.343,293,484,.605,345,1234,466,251,81,416,594,2022
Samford,32,21,11,.656,-3.01,-1.76,10,8,13,2,5,8,2390,2363,1290,856,1921,.446,281,836,.336,397,544,.730,340,1139,411,238,94,440,564,2022
San Diego,31,15,16,.484,-3.32,1.48,7,9,8,6,5,8,2041,2086,1250,770,1797,.428,170,508,.335,331,463,.715,297,1113,308,157,114,386,493,2022
San Diego State NCAA,32,23,9,.719,13.13,5.85,13,4,14,1,5,5,2093,1860,1295,761,1761,.432,192,542,.354,379,548,.692,315,1121,382,239,152,409,559,2022
San Francisco NCAA,34,24,10,.706,14.12,5.24,10,6,14,4,7,2,2630,2304,1365,944,2064,.457,327,934,.350,415,598,.694,361,1287,443,261,158,434,615,2022
San Jose State,31,8,23,.258,-7.01,3.79,1,17,7,9,1,13,1993,2242,1245,734,1717,.427,273,775,.352,252,383,.658,236,965,404,162,98,409,506,2022
Santa Clara,33,21,12,.636,8.98,3.61,10,5,14,4,5,6,2550,2373,1325,950,1961,.484,238,629,.378,412,541,.762,246,1172,499,197,124,381,495,2022
Seattle,32,23,9,.719,1.96,-4.10,14,4,17,2,6,6,2395,2132,1285,829,1989,.417,309,910,.340,426,556,.766,319,1203,436,221,116,371,657,2022
Seton Hall NCAA,32,21,11,.656,12.75,8.52,11,8,13,3,6,5,2302,2125,1285,808,1925,.420,234,692,.338,452,600,.753,387,1233,330,226,173,388,500,2022
Siena,29,15,14,.517,-6.40,-3.50,12,8,8,5,7,8,1922,2006,1175,691,1621,.426,196,551,.356,344,469,.733,240,955,291,180,116,364,464,2022
South Alabama,33,21,12,.636,0.23,-3.59,9,7,15,3,4,8,2362,2111,1330,863,1877,.460,224,665,.337,412,595,.692,320,1137,393,230,161,416,542,2022
South Carolina,31,18,13,.581,7.14,8.37,9,9,12,4,4,7,2200,2178,1245,811,1913,.424,211,667,.316,367,547,.671,401,1187,435,243,157,472,602,2022
South Carolina State,31,15,16,.484,-13.04,-8.39,7,7,8,5,5,8,2227,2249,1255,797,2030,.393,197,657,.300,436,633,.689,472,1296,379,206,111,458,614,2022
South Carolina Upstate,32,15,17,.469,-9.01,-4.11,10,6,6,7,8,9,2287,2341,1290,815,1823,.447,257,704,.365,400,529,.756,243,1041,438,203,106,407,612,2022
South Dakota,31,19,12,.613,-4.43,-5.61,11,7,11,4,6,7,2329,2198,1250,829,1779,.466,221,591,.374,450,600,.750,272,1065,370,137,71,309,547,2022
South Dakota State NCAA,35,30,5,.857,6.60,-3.77,18,0,14,0,10,3,3005,2561,1405,1078,2069,.521,326,733,.445,523,690,.758,258,1241,528,213,89,385,536,2022
South Florida,31,8,23,.258,-3.05,4.40,3,15,6,10,2,9,1781,2012,1240,670,1790,.374,138,547,.252,303,455,.666,350,1114,339,193,116,389,529,2022
Southeast Missouri State,32,14,18,.438,-7.19,-4.69,8,9,8,5,5,10,2418,2473,1285,818,1871,.437,281,816,.344,501,684,.732,290,1066,446,207,85,420,649,2022
Southeastern Louisiana,34,19,15,.559,-9.03,-5.77,10,4,10,1,5,11,2679,2643,1365,911,1982,.460,302,845,.357,555,732,.758,314,1118,519,270,132,486,544,2022
Southern,31,17,14,.548,-5.17,-6.90,11,6,9,2,8,11,2229,2105,1245,791,1796,.440,213,604,.353,434,624,.696,296,976,415,325,80,449,634,2022
Southern California NCAA,34,26,8,.765,12.50,6.09,14,6,13,3,9,3,2461,2243,1370,910,2002,.455,230,644,.357,411,619,.664,399,1363,485,170,151,415,531,2022
Southern Illinois,31,16,15,.516,2.83,0.73,9,9,11,4,4,8,1985,1902,1240,713,1600,.446,239,675,.354,320,464,.690,218,943,372,170,65,354,473,2022
SIU Edwardsville,32,11,21,.344,-10.37,-4.71,5,13,8,5,3,13,2161,2238,1295,772,1848,.418,188,646,.291,429,621,.691,410,1196,394,228,122,482,584,2022
Southern Methodist,33,24,9,.727,11.14,4.44,13,4,17,1,6,5,2436,2215,1325,827,1878,.440,280,792,.354,502,669,.750,313,1246,457,207,142,407,502,2022
Southern Mississippi,33,7,26,.212,-13.58,-0.38,1,17,3,11,1,14,2126,2471,1330,801,1866,.429,177,565,.313,347,504,.688,271,1107,406,165,91,439,529,2022
Southern Utah,35,23,12,.657,-1.51,-4.57,14,6,13,3,8,8,2720,2538,1420,962,2088,.461,292,851,.343,504,706,.714,353,1316,422,212,87,443,596,2022
St. Bonaventure,33,23,10,.697,8.27,4.79,12,5,13,2,7,4,2309,2194,1325,868,1917,.453,200,604,.331,373,497,.751,296,1109,451,209,157,341,439,2022
St. Francis (NY),30,10,20,.333,-13.49,-7.93,7,11,3,9,7,9,2017,2116,1210,746,1823,.409,210,668,.314,315,443,.711,338,1058,357,200,78,371,497,2022
St. John's (NY),32,17,15,.531,11.95,6.51,8,11,12,7,4,7,2547,2373,1290,969,2137,.453,232,692,.335,377,557,.677,383,1211,600,283,175,381,572,2022
St. Thomas,30,10,20,.333,-11.15,-5.59,4,14,5,8,3,12,2241,2260,1200,800,1815,.441,334,935,.357,307,405,.758,186,887,377,155,38,243,511,2022
Stanford,32,16,16,.500,6.27,8.59,8,12,10,5,3,9,2124,2198,1285,770,1780,.433,233,688,.339,351,533,.659,368,1181,419,178,83,479,556,2022
Stephen F. Austin,32,22,10,.688,2.43,-1.60,14,4,13,3,7,4,2385,2190,1285,877,1849,.474,189,572,.330,442,652,.678,370,1127,481,290,130,526,630,2022
Stetson,30,11,19,.367,-10.34,-4.07,5,11,7,8,4,11,2090,2144,1220,765,1779,.430,255,729,.350,305,442,.690,316,1068,430,211,88,389,445,2022
Stony Brook,31,18,13,.581,-6.63,-5.43,10,8,13,4,5,9,2261,2267,1245,815,1860,.438,254,749,.339,377,501,.752,299,1078,346,208,90,328,443,2022
Syracuse,33,16,17,.485,10.12,7.82,9,11,11,5,3,8,2553,2477,1345,915,2029,.451,300,795,.377,423,574,.737,350,1198,482,231,124,354,470,2022
Tarleton State,31,14,17,.452,-3.18,-0.50,9,9,10,5,4,12,2002,2025,1245,705,1683,.419,156,511,.305,436,578,.754,292,946,349,237,68,378,562,2022
TCU NCAA,34,21,13,.618,13.72,10.16,8,10,12,4,4,6,2328,2207,1370,862,1963,.439,188,622,.302,416,617,.674,442,1326,464,219,141,492,527,2022
Temple,29,17,12,.586,4.61,4.30,10,7,11,3,5,6,1936,1927,1170,649,1644,.395,195,628,.311,443,652,.679,356,1124,342,196,135,364,533,2022
Tennessee NCAA,35,27,8,.771,20.46,9.94,14,4,16,0,6,5,2571,2203,1410,915,2107,.434,305,848,.360,436,610,.715,409,1290,576,326,150,429,592,2022
Tennessee State,32,14,18,.438,-9.34,-7.31,8,10,8,5,5,11,2282,2246,1285,825,1852,.445,211,603,.350,421,589,.715,332,1120,393,216,107,444,610,2022
Tennessee Tech,32,11,21,.344,-7.27,-3.03,7,10,7,7,3,12,2328,2357,1290,897,1998,.449,224,655,.342,310,469,.661,371,1187,512,232,119,424,464,2022
Tennessee-Martin,30,8,22,.267,-11.13,-3.02,4,14,5,8,2,13,2067,2206,1200,762,1837,.415,205,685,.299,338,483,.700,350,1106,353,198,131,400,543,2022
Texas NCAA,34,22,12,.647,17.01,8.87,10,8,16,3,4,7,2339,2062,1370,832,1886,.441,225,681,.330,450,603,.746,353,1131,450,261,115,393,608,2022
Texas A&M,40,27,13,.675,12.93,7.42,9,9,16,4,5,5,2908,2643,1620,1034,2334,.443,260,799,.325,580,825,.703,483,1419,541,398,136,524,701,2022
Texas A&M-Corpus Christi NCAA,35,23,12,.657,-6.78,-9.10,7,7,9,4,7,6,2682,2454,1405,943,2130,.443,224,666,.336,572,776,.737,447,1341,528,298,62,492,711,2022
Texas Southern NCAA,32,19,13,.594,-3.30,-6.24,13,5,7,2,8,10,2209,2115,1285,803,1854,.433,180,573,.314,423,623,.679,379,1261,343,178,165,478,566,2022
Texas State,29,21,8,.724,0.14,-2.86,12,3,12,1,7,6,2043,1834,1165,739,1598,.462,183,489,.374,382,508,.752,292,973,354,188,103,358,495,2022
Texas Tech NCAA,37,27,10,.730,20.08,8.65,12,6,18,0,3,7,2667,2244,1495,969,2055,.472,225,700,.321,504,722,.698,391,1348,506,296,130,499,598,2022
Texas-Rio Grande Valley,31,8,23,.258,-10.18,-1.28,3,15,4,9,3,12,2212,2438,1240,759,1722,.441,196,644,.304,498,717,.695,271,1070,379,162,99,477,620,2022
The Citadel,31,13,18,.419,-6.80,-1.97,6,12,7,8,5,9,2381,2382,1265,838,1884,.445,332,938,.354,373,555,.672,289,1157,500,146,111,377,475,2022
Toledo,34,26,8,.765,6.26,-3.22,17,3,13,2,9,5,2717,2334,1360,1017,2122,.479,235,664,.354,448,594,.754,362,1357,519,188,94,348,513,2022
Towson,34,25,9,.735,6.47,-2.15,15,3,12,2,11,5,2478,2185,1365,870,1943,.448,265,743,.357,473,658,.719,399,1241,458,247,92,404,590,2022
Troy,32,20,12,.625,-3.56,-3.52,10,6,10,3,8,6,2214,2100,1290,770,1812,.425,240,733,.327,434,597,.727,357,1188,441,252,71,490,564,2022
Tulane,29,14,15,.483,6.74,5.33,10,8,9,4,3,8,2121,2080,1175,734,1661,.442,234,641,.365,419,554,.756,195,917,392,230,95,305,466,2022
Tulsa,31,11,20,.355,1.56,4.07,4,14,8,8,1,10,2089,2167,1240,745,1717,.434,212,619,.342,387,533,.726,278,1011,365,212,69,397,496,2022
UAB NCAA,35,27,8,.771,10.90,-0.14,14,4,16,2,7,4,2811,2336,1415,1035,2212,.468,276,734,.376,465,629,.739,424,1339,453,334,146,402,579,2022
UC Davis,24,13,11,.542,-3.70,-4.29,6,6,7,5,5,4,1628,1593,965,601,1366,.440,146,438,.333,280,397,.705,213,823,272,144,69,300,443,2022
UC Irvine,25,15,10,.600,1.59,-0.93,10,5,9,1,6,7,1656,1507,1000,609,1377,.442,126,388,.325,312,408,.765,250,908,273,150,89,338,450,2022
UC Riverside,28,16,12,.571,-0.92,-1.89,10,7,10,4,6,7,1865,1784,1135,683,1544,.442,201,628,.320,298,414,.720,221,995,373,147,37,345,449,2022
UC San Diego,29,13,16,.448,-7.04,-3.78,7,11,9,4,4,11,2036,2046,1165,697,1571,.444,265,716,.370,377,504,.748,172,886,395,167,53,364,424,2022
UC Santa Barbara,28,17,11,.607,1.38,-4.39,9,6,11,3,5,7,2066,1841,1145,755,1527,.494,152,458,.332,404,571,.708,254,977,438,175,82,371,483,2022
